Kabupaten,SMP,SMA,DIPLOMA,Jumlah_Pengangguran
Purwakarta,8594,23156,1949,43424
Karawang,8810,77839,6779,107723
Bandung,18838,48722,14339,97956
Bogor,36554,129723,129723,253014
Sukabumi,28018,34285,4642,89498
Cianjur,24340,39141,3079,105125
Garut,25311,32272,4173,84045
Tasikmalaya,15577,20079,1086,54192
Ciamis,8275,17882,2816,31858
Kuningan,10147,21716,2207,48270
Cirebon,17007,60602,4953,109422
Majalengka,4999,14411,593,27424
Sumedang,8867,23549,5756,43447
Indramayu,14657,34751,4043,73911
Subang,17324,39591,3552,71618
Bekasi,21342,92748,24296,158958
Bandung Barat,15186,25057,2443,62695
Pangandaran,2300,5317,544,10486
Kota Bogor,10496,21680,5953,48731
Kota Sukabumi,2570,7538,597,12978
Kota Bandung,16147,51743,23111,105067
Kota Cirebon,2551,6421,2088,13679
Kota Bekasi,16781,66847,31400,124114
Kota Depok,12796,40719,9824,72325
Kota Cimahi,3156,14269,4173,23960
Kota Tasikmalaya,3465,12221,1658,21806
Kota Banjar,754,3696,218,5772
